Key,HoldTime,FlightTime,DigraphLatency
i,0.0655,0,0
n,0.0737,0.1966,0.1884
,0.0821,1.2957,1.2873
,0.0946,0.5952,0.5827
,0.0631,0.2647,0.2961
,0.1088,0.178,0.1324
a,0.0754,0,0
r,0.0914,0.9866,0.9705
u,0.0493,0.0907,0.1328
s,0.0936,0.2498,0.2055
s,0.0941,0.1603,0.1598
i,0.0826,0.1012,0.1127
a,0.1373,0.1891,0.1344
n,0.0713,0.0547,0.1207
u,0.0656,0.4244,0.4302
l,0.0589,0.4353,0.442
t,0.0698,0.318,0.3071
r,0.06,0.1703,0.1801
a,0.1409,0.2209,0.1401
n,0.064,0.3804,0.4573
a,0.1301,0.1875,0.1213
t,0.0587,0.1064,0.1779
i,0.0417,0.3291,0.3461
o,0.0795,0.1793,0.1414
n,0.0683,0.2074,0.2186
a,0.1181,0.3671,0.3174
l,0.0771,0.0821,0.1231
i,0.0581,0.4619,0.4808
s,0.0713,0.2296,0.2164
t,0.0617,0.1282,0.1378
n,0.06,0.3905,0.3922
a,0.1144,0.1478,0.0934
m,0.058,0.0876,0.144
e,0.0877,0.1654,0.1357
d,0.0886,0.1896,0.1887
i,0.0738,1.1953,1.2102
m,0.0726,0.2053,0.2065
r,0.0885,0.2189,0.203
a,0.1744,0.305,0.2192
n,0.0599,0.0391,0.1536
x,0.1809,0.7336,0.6126
z,0.0833,1.2239,1.3215
a,0.1152,0.2309,0.199
k,0.0557,0.8211,0.8806
h,0.0656,0.978,0.9682
a,0.102,0.1626,0.1262
e,0.0871,0.2535,0.2683
v,0.097,0.5182,0.5083
i,0.0637,0.8129,0.8461
s,0.1089,0.1586,0.1134
d,0.073,0.9809,1.0168
e,0.0756,0.1972,0.1946
t,0.0757,0.1249,0.1248
e,0.1051,0.1371,0.1077
r,0.0673,0.0748,0.1126
m,0.0768,0.384,0.3745
i,0.0736,0.2249,0.2282
n,0.0704,0.1798,0.1831
e,0.0853,0.1274,0.1125
d,0.0908,0.18,0.1745
t,0.0799,0.7162,0.7271
o,0.0555,0.1438,0.1682
r,0.0898,0.4061,0.3718
e,0.1006,0.2095,0.1987
t,0.0728,0.081,0.1088
u,0.078,0.2744,0.2692
r,0.1266,0.1684,0.1198
n,0.0922,0.1093,0.1436
h,0.0744,1.065,1.0829
i,0.0782,0.245,0.2413
s,0.1062,0.1788,0.1508
h,0.0948,0.5291,0.5405
o,0.0804,0.1527,0.1672
m,0.0907,0.2046,0.1942
e,0.1655,0.2263,0.1515
l,0.0923,0.2479,0.3211
a,0.1321,0.1461,0.1063
n,0.0692,0.1109,0.1737
d,0.1038,0.2848,0.2502
t,0.1045,1.0682,1.0674
o,0.0736,0.1671,0.198
t,0.0702,0.3584,0.3618
h,0.0766,0.172,0.1657
e,0.102,0.1323,0.107
