Key,HoldTime,FlightTime,DigraphLatency
n,0.0948,0.0,0.3275
2,0.1275,1.5566,1.5238
0,0.1046,0.2636,0.2864
0,0.0933,0.193,0.2043
1,0.0932,0.1864,0.1865
",",0.1052,2.3948,2.3828
a,0.0984,0.7975,0.8042
u,0.094,2.1371,0.6618
s,0.099,0.2049,0.1999
s,0.1145,0.4917,0.4762
i,0.093,0.9053,0.9268
a,0.1445,0.2476,0.1961
n,0.0835,0.2179,0.2789
u,0.0792,2.333,2.3373
l,0.0791,0.6582,0.6583
t,0.1178,0.4756,0.4369
r,0.0792,0.0961,0.1348
a,0.0883,0.7197,0.7106
n,0.1313,0.6252,0.5822
a,0.134,0.1038,0.1011
t,0.0967,0.303,0.3402
i,0.1146,0.175,0.1571
o,0.1607,0.1041,0.058
n,0.1207,0.2607,0.3006
i,0.0967,4.9114,4.9354
s,0.1307,0.5137,0.4797
t,0.0885,0.1791,0.2213
b,0.1857,1.2228,1.1255
y,0.1234,0.0787,0.141
t,0.0923,0.3719,0.4029
h,0.0838,0.1292,0.1377
e,0.0746,0.1196,0.1288
n,0.0911,0.528,0.5115
a,0.129,0.1614,0.1236
m,0.1219,0.1479,0.155
e,0.0807,0.1475,0.1888
o,0.1016,1.8714,1.8504
f,0.0858,0.1548,0.1707
i,6.6564,0.9338,4.9354
m,0.084,0.2443,0.2503
r,0.0982,0.4671,0.4529
a,0.0707,0.302,0.3295
n,0.0952,1.1843,1.1599
z,0.094,3.1608,3.162
a,0.1282,0.219,0.1848
k,0.1132,0.6776,0.6926
h,0.0862,0.5117,0.5387
e,0.0755,0.2263,0.237
v,0.078,0.3768,0.3743
i,0.0944,1.2498,1.2334
s,0.0937,0.1884,0.1891
d,0.1192,0.3914,0.3659
e,0.121,0.1812,0.1794
t,0.1094,0.2393,0.2508
e,0.0902,0.0763,0.0955
r,0.0701,0.1452,0.1653
m,0.1541,0.6783,0.5943
i,0.1372,0.0996,0.1165
n,0.096,0.198,0.2392
e,0.0832,0.2677,0.2806
d,0.0887,0.2242,0.2187
t,0.1062,1.7484,1.7309
o,0.1195,0.1676,0.1542
r,0.1103,1.5664,1.5756
e,0.104,0.0792,0.0855
t,0.0855,0.204,0.2225
u,0.0837,0.5733,0.5751
r,0.0972,0.1722,0.1587
n,0.0799,0.2982,0.3155
h,0.1488,1.5041,1.4351
i,0.0888,0.0978,0.1578
s,0.0733,0.1571,0.1727
h,0.1384,0.5825,0.5173
o,0.144,0.0975,0.0918
m,0.1001,0.3153,0.3593
e,0.1004,0.1742,0.174
l,0.1156,0.98,0.9648
a,0.1296,0.1376,0.1236
n,0.1035,0.3235,0.3497
d,0.0699,0.2594,0.293
t,0.1406,2.1163,2.0456
o,0.0904,0.1084,0.1586
t,0.13,3.4827,3.443
h,0.0975,0.1089,0.1414
e,0.0831,0.174,0.1884
s,9.9736,1.04,0.1727
o,0.1025,0.429,0.4057
v,0.1195,0.4304,0.4134
i,0.0913,0.2246,0.2527
e,0.1091,0.3543,0.3365
t,0.0834,0.222,0.2477
t,0.1377,1.2206,1.1663
i,0.0606,0.0836,0.1607
m,0.1185,0.4946,0.4366
e,0.1251,0.1427,0.1361
s,0.1275,0.4058,0.4033
.,0.0968,0.8999,0.9306
Z,0.0705,2.5604,2.5868
a,0.1555,0.4272,0.3421
k,0.1451,1.7758,1.7862
h,0.099,3.6395,3.6856
a,0.023,1.652,0.031
e,0.1104,4.1147,4.0273
v,0.0898,0.2323,0.2529
